,username_folder_name,count,name
0,2017-Purdue-UNAL-IronHack-Chranium,1,Chranium
1,2017-Purdue-UNAL-IronHack-Christian7sr,4,Christian7sr
2,2017-Purdue-UNAL-IronHack-bsgarciac,9,bsgarciac
3,2017-Purdue-UNAL-IronHack-dsbarrerag,6,dsbarrerag
4,2017-Purdue-UNAL-IronHack-falperezgo,59,falperezgo
5,2017-Purdue-UNAL-IronHack-jiapulidoar,3011,jiapulidoar
6,2017-Purdue-UNAL-IronHack-jucjimenezmo,4,jucjimenezmo
7,2017-Purdue-UNAL-IronHack-kgbayala528,4,kgbayala528
8,2017-Purdue-UNAL-IronHack-lfvalderrama,5,lfvalderrama
9,2017-Purdue-UNAL-IronHack-nabautistal,8,nabautistal
10,2017-Purdue-UNAL-IronHack-nfmorenog,3,nfmorenog
11,2017-Purdue-UNAL-IronHack-oeroaq,92,oeroaq
12,2017-Purdue-UNAL-IronHack-ronaldsg20,1508,ronaldsg20
13,2017-Purdue-UNAL-IronHack-srmedinac,75,srmedinac
14,2017-Purdue-UNAL-IronHack-wolfstain,56,wolfstain
15,2017-Purdue-UNAL-IronHack-xdanielsb,133,xdanielsb
