username_folder_name,left_only,right_only,both
2017-Purdue-UNAL-IronHack-Chranium,0,0,1
2017-Purdue-UNAL-IronHack-Christian7sr,0,0,1
2017-Purdue-UNAL-IronHack-bsgarciac,0,2,14
2017-Purdue-UNAL-IronHack-dsbarrerag,0,0,9
2017-Purdue-UNAL-IronHack-falperezgo,0,3,112
2017-Purdue-UNAL-IronHack-jiapulidoar,0,0,464501
2017-Purdue-UNAL-IronHack-jucjimenezmo,0,4,0
2017-Purdue-UNAL-IronHack-kgbayala528,0,0,4
2017-Purdue-UNAL-IronHack-lfvalderrama,0,0,12
2017-Purdue-UNAL-IronHack-nfmorenog,0,0,3
2017-Purdue-UNAL-IronHack-oeroaq,4,20,371
2017-Purdue-UNAL-IronHack-ronaldsg20,0,0,119813
2017-Purdue-UNAL-IronHack-srmedinac,0,0,257
2017-Purdue-UNAL-IronHack-wolfstain,0,0,180
2017-Purdue-UNAL-IronHack-xdanielsb,0,1,356
